labelling_id,labelling_name_fr,labelling_name_en
1ae17b23e38e5fbaea13f05ec87db476_lab,Beignet de crevette,Prawn fritter
e23c4f295f738af3c30b91031fa36a54_lab,Beignet de mozzarella,Mozzarella stick
4bfd5954d138296514a349753065bb2a_lab,Calamar à la romaine,Deep-fried calamari rings
b90833efa24458f861622eab8a3e4d03_lab,Cordon bleu,Cordon bleu
8890c8054a2f74dfcaa709d6673b5249_lab,Empanadas,Empanadas
635b06ecddf52352aff9fd489ec40203_lab,Falafel (la boulette),Falafel
dc3897163424d4f3f661b86f93b705d7_lab,Nuggets,Chicken tender
eab5c6768728233e8966aa5cccab8d21_lab,Onion rings,Onion rings
394c18483a4f369db2a2494167f48690_lab,Poisson pané,Fish sticks
ce9519d046f1970abfc1a14d9619d142_lab,Poulet frit (type KFC),Fried chicken
46839d6f8822e65d29d7382fb6a92444_lab,Biscuit chocolaté (type Petit Écolier),Chocolate cookie
59527416b8febf1d8b67f24bd9216f85_lab,Pim's,Pim's
aad300a523fa62db343d6873710e6bae_lab,Palmier (le biscuit),Palmier
f91bd4627b3fc105b93057293c359e28_lab,Biscuit Petit Déjeuner,Breakfast biscuit
2e26e876aac59fcda1d3c06f40466bc8_lab,Biscuit sablé (type palet breton),Shortbread
b7b5dd496897a6d674f48d834aae7085_lab,Cigarette russe,Russian cigarette
22d362ce9ac8e49a78294fb78720676c_lab,Galette à l'orange,Orange flavored biscuit
48d02fc904b8b495eb00b0a0416aa22a_lab,Navette (le biscuit),French Navette
706f10887bbeb729378c706eee126fa7_lab,Cookie,Chocolate chip cookie
da1ffb9fe282059e80af050128b6c7ea_lab,Gaufre fourrée,Filled waffle
3c2dfff029ca306612aa3531030d3af4_lab,Gaufrette,Neapolitan wafer
7fccfd17e11856085620ae4540acf8f2_lab,Granola (le biscuit),Granola
e6e83408a8209a817e380cdb8c32d99c_lab,Meringue,Meringue
3417d06f0c2419d429590b513894b382_lab,Oreo,Oreo
ff11301b1ec4703fe1b819af9c76184a_lab,Petit beurre LU,French Petit Beurre
101cf17912fca83526f0bc3464c94f61_lab,Bière bouteille (toutes marques),Bottled beer
405485c97ecd3e3777cee378804a67b2_lab,Bière pression blanche,White draught beer
01cffe2dd45b8c031920c5c9c5c0a8a7_lab,Bière pression blonde,Blond draught beer
65dc5374b77358d9f8e0cef5801dba2f_lab,Bière pression brune,Dark draught beer
e585a6bdeaff2c06351a401497f21003_lab,Verre de Cidre,Cider
11d7cb6c7d3ab837ed27f7c642bca3bb_lab,Kir royal,Kir royal
8dc088cdcb046c51e17153ee6afcbcd6_lab,Verre de Martini,Martini
d92b0904aa4f08f128aa8c6d27750568_lab,Verre de Mojito,Mojito
4e3e63325fb46b3778bbad6e565753ea_lab,Bière pression monaco,"""Monaco"" draught beer"
9079aa967aee1639e33505a2e7ceecd2_lab,Verre de Pastis,Pastis
96f42784f3980409e1cdecbeb05276a4_lab,Blue Lagoon,Blue Lagoon
6ba13f5bfe4cb91b4fc5f8fa304c3dbc_lab,Caïpirinha,Caïpirinha
7e044f25452cc0e8efa26043ee44a03c_lab,Cosmopolitain,Cosmopolitain
572af5011fd9798fcd28ce3f4633ea4a_lab,Cuba libre,Cuba libre
21b2de5c3dc608392b7adc666a0fe39a_lab,Gin tonic,Gin tonic
7f8b91bb582ce6a17ed573587224e7fc_lab,Margarita,Margarita
083d440675d123c0e52eb900a19e8df7_lab,Punch planteur,Planter's punch
d7cfc304f42ea3345d917e31041e8fa8_lab,Spritz,Spritz
f431cbf82b080ff23133ccda8c44f56b_lab,Whisky sour,Whisky sour
88f9f683459646e57f6c0683618b7f4d_lab,Verre de Sangria,Sangria
458fac896d9824cda51355e3667b8f24_lab,Shot (tous types),Shot
89b49e95b5604105c04f218f3e560380_lab,Champagne,Champagne
35290a4bb37cdfa25a377e69228e162f_lab,Verre de Vin blanc,White wine
d9ffdc75ecb63663dd033f91fd079623_lab,Verre de Vin rosé,Rose wine
e9970991e41105223bfb3d17b4e56282_lab,Verre de Vin rouge,Red wine
9e840d3376b5cf12f91c286ba5961e48_lab,Cacao en poudre,Cocoa powder
2eacc2707139a0f80c6c717ba616af29_lab,Café Starbucks (cup blanche),Americano coffee
c0a0799f21c9a12ceb6a4b5f4fb825f1_lab,Café au lait,Coffee with milk
5916b717e28ee4e28e2ad540a2ab0162_lab,Café,Coffee
95c1a5c627288e5c58c5092962997cac_lab,Cappucino,Cappucino
d99dbc9d2fb9bdf5974627aaf99b3a2c_lab,Chocolat chaud,Hot Chocolate
3d486f566f185b8a762968b6a49b45b9_lab,Irish Coffee,Irish Coffee
1d7703facf02ff28fff529362108c6b8_lab,Ricoré,Ricoré
87aacb055e7b23a5a8ba13281d34809e_lab,Thé,Tea
cfc68fea93b46059e9b7107bc0a9483f_lab,7 Up en canette,7 Up 33cL
b2e01900757a2af395cd25ab4aff3e3d_lab,7 Up en bouteille,7 Up 50cL
c6e2c1eecdaf39e5c16805b2b63d098b_lab,Coca Cola Light en bouteille,Coke Light 50cL
f4fc10639c64deaceb612daa065d0bdd_lab,Coca Cola Zero en bouteille,Coke Zero bottle 50cL
b0631ea5c376762a856d0ef7f6b297ea_lab,Ice Tea en bouteille,Ice Tea 50cL
c0d904c4eb0a3c3cc1e46abf84eb9a0c_lab,Ice Tea Light en bouteille,Ice Tea Light 50cL
0cda3140697386d29b86e7f9091abf47_lab,Oasis en bouteille,Oasis 50cL
75c120fc6f5d9b8cce7f44afaa301d9d_lab,Orangina en bouteille,Orangina 50cL
dfa8cc78f13abf1afbac338594514b8a_lab,Pepsi en bouteille,Pepsi 50cL
9e34211a6ae976018310f7b4b5cef550_lab,Pepsi Next en bouteille,Pepsi Next 50cL
29e799422f52ea36198d276c6805c864_lab,Schweppes en bouteille,Tonic 50cL
186bd58cb6ac7687819385e1efa20298_lab,Sprite en bouteille,Sprite 50cL
49eade0078c071e4d962f6534d9aeb9d_lab,Café frappé (Iced coffee),Iced coffee
1a2bf2cf57a1cb143b75cf2865f89759_lab,Verre de Coca Cola,Coke
97fa8befc086f86f1e8cda422b217245_lab,Coca Cola en canette,Coke 33cL
f0cfd41658afe0ea7b4cfa8ea94741b9_lab,Coca Cola en bouteille,Coke 50cL
f5422c7da91b7c5116eadb745c728be3_lab,Coca Cola Light en canette,Coke Light 33cL
ec9a1db2eaf9b4222f50fbaeded41589_lab,Coca Cola Zero en canette,Coke Zero 33cL
9287f0f58fbfeff604f8e50ab45b7e26_lab,Eau de coco,Coconut water
e1650a57114d94cf36e086b8291a5952_lab,Verre d'Ice Tea,Ice Tea
166bdce3cdb6a9bb32201c8fce231637_lab,Ice Tea en canette,Ice Tea 33cL
0bc625f8f4f749fe871e371bdafead9b_lab,Verre de Jus d'ananas,Pineapple juice
5d5c483d361bd0ab132a728ba6fe3a8f_lab,Verre de Jus d'orange,Orange juice
89d7c05b6e81e351bbfb1b384a0514bd_lab,Verre de Jus de carotte,Carrot juice
87b649e0e793e0bf01026790ab8ea6fd_lab,Verre de Jus de citron,Lemon juice
957c155af56cd2b582d7d335e63133d5_lab,Verre de Jus de cranberry,Cranberry juice
97d313d071ea1dafe0ed8fb0bd48e68e_lab,Verre de Jus de pamplemousse,Grapefruit juice
d97f6cd36c70c5ad5f6b5f906e4db81f_lab,Verre de Jus de pomme,Apple juice
10ed00360aa6466bb21199b1ec7cda1b_lab,Verre de Jus de raisin,Grape juice
513535c5382eebf51dca54b46d570fe5_lab,Verre de Jus de tomate,Tomato juice
57a854267f9e92f313b43a516cbb8f6a_lab,Lait de coco,Coconut milk
d49929af79e93ff191fb7495478c7fd4_lab,Verre de Limonade,Lemonade
ba66375a78e11fcc8f0d8a9f9b848a5b_lab,Nalu,Nalu
edbdb92a6208259c1daac921357790cd_lab,Verre de Nectar de poire,Pear nectar
36956fb0442ce347c0161994e7dc836c_lab,Verre d'Oasis,Oasis
33ec5d66f7cecd09ed6bcff3dc531829_lab,Oasis en canette,Oasis 33cL
985746d01b61fc0d4172e6da0c0889f8_lab,Verre d'Orangina,Orangina
7bad7e02c7ef0692e73aee9441a57a63_lab,Orangina en canette,Orangina 33cL
71d1b5aa35560eb4606cb197472727e0_lab,Ice Tea Light en canette,Ice Tea Light 33cL
1c9c0e35c27923942b7d2a069d11e2a7_lab,Pepsi en canette,Pepsi 33cL
c0273784c83c3935fc9bd42caebda8d5_lab,Pepsi Next en canette,Pepsi Next 33cL
cf7c303ac9ca049c47da0968f4037ee2_lab,Red Bull en canette,Red Bull 33cL
6129c44728ff18f1a094aabc43479f85_lab,Schweppes en canette,Tonic 33cL
89ce4c924c47ba325540b86347b35948_lab,Sprite en canette,Sprite 33cL
64c365c1f16f010cd3dc25fc65cc38c2_lab,Verre de Red Bull,Red Bull
c05426626da47c51ffa15740799b7479_lab,Verre de Sirop de grenadine,Squash
15addfc2b1907ab8d4bdfc918a0580a0_lab,Avoine,Oats
a3f04a2071055bedc6e2b298350cf9a2_lab,Barre céréale chocolatée non-emballée (type grany),Chocolate cereal bar
828901bedd85cbe7f6ab133e3754c360_lab,Barre céréale non-emballée (type grany),Cereal bar
8070d620798403838a06dcc8b1d71308_lab,Barre protéinée (non-emballée),Protein bar
7983234f0b0098a789cc32515bee4fc5_lab,Céréales Lion,Lion cereals
6f4d0deb3fe981a3c31884bc11795fc2_lab,Céréales Trésor,Trésor cereals
b6b93a391971b304e5e4d69da1d7bde4_lab,Chocapic,Chocapic
f11207fc6fe8eb03a9039ec57994d6d3_lab,Choco Pops,Choco Pops
026c3aa4a7c9f55b3ca6a718aad841e3_lab,Clusters,Clusters
643a4c3332ecae51b0621e6e8b8d6615_lab,Corn flakes,Corn flakes
ed55b3e5a030a11bfe9952d3ddc8f8da_lab,Cruesli Original,Cruesli Orginal
8a68153b4c29c0447bf18d6e8b6c7b18_lab,Fruity Pebbles,Fruity Pebbles
0aab566fddbfeae3f9fa4b40d37d6bc8_lab,Oatmeal Squares,Oatmeal Squares
4690bcfff92f9b183898360d2999ee51_lab,Smacks,Smacks
9444433f49aecb9a3786b756da6e8183_lab,Flocons d'avoine,Oat flakes
5c40e4e35d531c334e710895cf86e223_lab,Flocons de sarrasin,Flakes of buckwheat
68b75bea30504848cec1eedbbcfb2cb0_lab,Miel Pops,Miel Pops
3063d7c4a390e19416666a45f816ee7a_lab,Muesli,Muesli
99cbb4b22acd381eb5c632e053e81ab6_lab,Porridge,Porridge
83e510cb934e9a45790a80b60cab2f31_lab,Weetabix,Weetabix
80a29a44eca53628026e0b9e189c7514_lab,Protéines en poudre,Protein powder
54657e22f539b440b9f28e425fc770b1_lab,Barbe à papa,Candyfloss
5dedda929608ef07aedda33aa2b474e5_lab,Bounty (emballé),Bounty (packed)
9dd2216a00e3fde5d6a2a9c6afa86b03_lab,Chocolat au lait (tablette) (sans noisettes),Milk chocolate
698a90a04a201c6babc47fef9cd0974f_lab,Chocolat au lait aux noisettes,Milk chocolate with hazelnuts
737b9bf050d1b423f2f1633a3a737478_lab,Chocolat blanc (tablette),White chocolate
4f6782cc967661ead6cdcd85d938bb72_lab,Chocolat noir (tablette),Dark chocolate
0d1bf4634b1fa494961aea9e483c0c88_lab,Chocolat noir aux noisettes (tablette),Dark chocolate with hazelnuts
c4273b919224fcfad143c268b324d6d3_lab,Bonbons acidulés (tous types),Acid candies
7ab1427121f071753526c40e012d976c_lab,Crocodiles,Crocodiles
f51d045165adaa343839e618ea952e2d_lab,Fraises Tagada,Fraises Tagada
038644de6680213132600c4b391d582e_lab,Guimauve (chamallow),Marshmallow
2c9823bee1dd8cc9cf88270f8d100c1f_lab,M&Ms,M&Ms
671f028142280b556a85ffdd90e0a43d_lab,Mars (emballé),Mars (packed)
b57cda90b8cf508460f3ed3863b59deb_lab,Bounty (non emballé),Bounty
110d6482e8a4e82df4ed8d26fbdefb86_lab,Mars (non emballé),Mars
3d1f02e73185dc27608205ef88354a58_lab,Snickers (non emballé),Snickers
bc01cbe51367feb0e4437ebd161b0d07_lab,Twix (non emballé),Twix
78485e99d595aa1de54eb832b86650f4_lab,Nougat,Nougat
671b8d93f534f4601e5b4d6dbf3b90f6_lab,Nutella (seulement si pas en tartine),Nutella
09ab47e658713dbfba5f762a1735f50d_lab,Pâte de fruits,Fruit bar
02abcba0844968ea9039d4a79c7f4bd2_lab,Pomme d'amour,Candy apple
6c4932631b053b5ba76d2ae4f7bd7301_lab,Réglisse,Liquorice
4d26cbce7bc6ef7b4635629d85da2151_lab,S'more,S'more
111bb38e340cd20e86f3510862fdd74e_lab,Skittles,Skittles
54850b3924949eeef3d409b076a9fd62_lab,Snickers (emballé),Snickers (packed)
dc8254f1cf0e3770662f9b69f6df88f6_lab,Sucette,Lollipop
95b676a4d07bdde81bca8a4a6d09ae45_lab,Twix (emballé),Twix (packed)
950384deefb8b4c88f2b105fa41e6ffe_lab,Bobun (plat entier),Bobun
cb7d5858ace9ddb35e864470c060e611_lab,Boeuf aux oignons,Beef with oignons
86dbbc9131b77526e0c5300b07a65f95_lab,Canard laqué,Peking duck
aabaad59df78cf4c5c877493d1b430d0_lab,Curry de Crevettes,Prawn curry
39166b95dc06c7d4d91b3d9d41469a26_lab,Gyoza,Gyoza
abebf60f3538cd193d8ed8db98bfedb7_lab,Naan au fromage,Cheese Naan
8c353756202da12422bd88865f9eb431_lab,Nem,Spring roll (fried)
61e923ce94e7532f7522fd0b498deaf5_lab,Porc au caramel,Pork with caramel sauce
1f6db1bc76a6e5627ac8094d371696fa_lab,Poulet au curry,Curry chicken
3d8682f2f5444464de089e6fdafd360c_lab,Poulet korma,Chicken korma
cd949941aaf7ebbd9ddbe934c1f48b9c_lab,Poulet massala,Massala chicken
70b1e43602c8f6404ebf0a6546fb0ab8_lab,Poulet thaï,Thai chicken
0f02d6a81149355d88ae929e3e12a8b5_lab,Raviolis vapeur (asiatiques tous types),Dumpling
da82c7d580f99d38c7f9fa217b064b39_lab,Rouleau de printemps,Spring roll
6cf302f7f705971f3e9a26d977c4cfbf_lab,Samoussas,Samosas
ef1911d3962f18fbaf22cac1ac72f0e0_lab,Chirashi (plat entier),Chirashi
35c01240df604f70e38ad598594df93d_lab,Maki california saumon,Maki california salmon
5a8a277b2397b292cd0e6328af8e91ff_lab,Maki california thon,Maki california tuna
a300736da157d06fdb26117a0e637c5e_lab,Maki saumon,Maki salmon
56b43f9b188c5840bffd183995b6e44b_lab,Maki thon,Maki tuna
d14e765808206e0655819c435018dc2c_lab,Sashimi daurade,Sea Bream sashimi
03bef00303ba81f5f440d2f1a44a75bf_lab,Sashimi saumon,Salmon sashimi
7be2bf95dcd432c5071c4cb71fa13344_lab,Sashimi thon,Tuna sashimi
018c325f99318af5bc6f542e4586c478_lab,Sushi saumon,Salmon sushi
b3a218d1c37484c7736fac3d4681902a_lab,Sushi thon,Tuna sushi
a269afa4b57691acc8f12aee3f982c7d_lab,Tekoyaki,Tekoyaki
8656cc8ebb46e96ab90ad17008d9d870_lab,Banana split,Banana split
04a7499b766ac3ea8bb7f96e6c1a10f5_lab,Crème anglaise,Custard cream
e407d94fc97e730de8e2df74ab7c50a3_lab,Crème brûlée,Crème brulee
d6fb12a02ef23cd1147ded42036f42eb_lab,Crème caramel,Crème caramel
cdd664cfc4f1944c735372a716c893ff_lab,Crème de marron,Chestnut cream
d5bec3fb685e1437e4064735b2091aa0_lab,Esquimau au chocolat (type Magnum),Chocolate Frozen Eskimo
c625ca455bb9aea8463f747152f5376b_lab,Esquimau au chocolat blanc (type Magnum),White chocolate frozen eskimo
524794e088e7be07a00ec408cb775f6f_lab,Glace à l'italienne,Ice Cream Cone
3fef60ffbf34165ad84558cca5c7fd21_lab,Glace au yaourt,Yogurt ice cream
e977289509127a44c40c2ec55186f9dc_lab,Glace café,Ice cream
cc8e56c775fae9d0e956556578cf7c57_lab,Glace chocolat,Chocolate ice cream
4cdc41e3514521cc124bdafd5b633c28_lab,Glace fraise,Strawberry ice cream
6802ca3b35858edae804a94fc1399940_lab,Glace framboise,Raspberry ice cream
f6675d80be083cf445654cd0df747371_lab,Glace noisette,Hazelnut ice cream
fa18765aac90c3a102ae8e2d3c883473_lab,Glace pistache,Pistachio ice cream
506bf2b48aba28c9f2b5f0d080a53001_lab,Glace vanille,Vanilla ice cream
6a72883ea76403d44a7b811faab3cd76_lab,Ile flottante,Floating Island
9ade493724ad85f631b06a4a2b7af3e3_lab,Liégeois café (pot),Liegeois coffee flavoured
b929eabaf7715fdda32837489bfde91a_lab,Liégeois chocolat (en pot),Chocolate liegeois
a11c4b8067a0f920417b8fcc77dbb51f_lab,Milk-shake banane,Banana milk-shake
df1c3f5dfdea5d8246ac40b78b260dd5_lab,Milk-shake vanille,Vanilla milk-shake
08dfcd58ef8a90a6e5986f8a21ad5fd0_lab,Milk-shake fraise,Strawberry milk-shake
5f537b419e5a880b82a79536ef7f922b_lab,Mousse à la crème de marrons (en pot de yaourt type ),Chestnut cream mousse
941accd853e5f9f823ee3eadaf8a07c5_lab,Mousse au chocolat,Chocolate mousse
f5a48120242542ea55b3fe305eb3d41f_lab,Pain perdu,French toast
db7388a5dfd159646c296f0f4ded562d_lab,Panna cotta,Panna cotta
7eaa3005266e2cdea63055d0d51fbb6b_lab,Pêche Melba,Peach Melba
6d5c8d00226a6d4d5bb668154dbdb5a2_lab,Poire belle Hélène,Poire belle Helene
21663fb3e3124593a96e77bb8d26374d_lab,Profiterole,Cream Puff
58fa201bb26a52a25d36b9c94de67ccb_lab,Religieuse (individuel tous parfums),Eclair
84496bf8f6e2ca482064ec50ef255fcf_lab,Riz au lait,Rice pudding
d5741d6711bc0f1f124f49478957cd46_lab,Semoule au lait,Semolina pudding
44804d7260cc75baa8d472f962a2cf16_lab,Sorbet citron,Lemon sorbet
839ab8d3b16e185860afe65666693a96_lab,Tiramisu,Tiramisu
123230401da216809f3ae18313059b9a_lab,Baba au rhum,Rum baba
20b1d2dde4476e87fa95196c39d5666f_lab,Baklava,Baklava
4e3f594011825c8f5ee10ae52376f51a_lab,Bowl cake,Bowl cake
71131e4febee7396d4cd129be75a0473_lab,Brownie,Brownie
ea96a92479944204faa91e57c35b2c6e_lab,Bûche de Noël (tous types),Christmas Cake
d9430b73f1dbd1563161577194555a91_lab,Cake aux fruits,Fruit cake
063896f05ba0c944fbe62d5bde4658de_lab,Canelé,Canelé
6b8a984c44b155469eb9ee8f52fe60e9_lab,Cannoli,Cannoli
aa9a485dc85352d3a2ce98aac35ea471_lab,Gateau aux carottes,Carot cake
73ccf8d036429eb898b06c55cf33e896_lab,Charlotte aux fruits,Fruit Charlotte cake
5885290a0cf61bf5cd559f26e92caf5c_lab,Cheese-cake,Cheese-cake
159bc57852a5b17124ddbde609157bb9_lab,Chou à la crème,Cream puff
4c4c9ac42ff2a158810987823301e7a4_lab,Churros,Churros
b48c2c5393c04dec40391788dcb5440c_lab,Clafoutis,Flaugnard
167e1c6a535cedba359d8c1d2d847c6a_lab,Crêpe au caramel,Crepe with caramel
1f8b37c7b7b2fcacb1e59045611effb9_lab,Crêpe au nutella,Crepe with nutella
9a8130ce7b99080ed40c5eb7c1c0f5aa_lab,Crêpe au sucre,Crepe with sugar
7b1ad1498d45a44f49b5fd3c36ff660c_lab,Crumble aux fruits rouges,Red fruit crumble
4a47bedbf12e0042ee0f2557045df471_lab,Crumble aux pommes,Apple crumble
1a30609f1a181305f4106b1fe487f93d_lab,Cupcake,Cupcake
2f868582b91ac7c9f73efd7f62d533ea_lab,Éclair au café,Coffee eclair
44ab424e8a53c45b971196152fdc1672_lab,Éclair au chocolat,Chocolate eclair
2a4a5c35359755327d162f31f7d540e5_lab,Far breton,Far breton
ae6e1bf370c08d23a00d8695693af3fb_lab,Flan,Pudding
1fd36b5f55b4b6679e4698da94c587a7_lab,Flanby (en pot),Flanby
25e900ae2593ec0b7aad4020a0825cf3_lab,Flanby (retourné dans l'assiette),Flanby (in plate)
7455b393fe8cc2cbf52ca9493e888e4a_lab,Part de fraisier,Strawberry cake
f132a6170a9ad7d0715b8938323d89d6_lab,Part de Galette des rois,King Cake
c4a24f6aef3f5fc60c213f49e7b19523_lab,Part de Gateau au chocolat,Chocolate cake
440dc471e8e5a839a83402536dd2c535_lab,Part de Gateau au fromage blanc,Soft white cheese cake
0a4cbaa70ae054b97f97f51c78c4b32d_lab,Gaufre au chocolat,Waffle with chocolate
11a326b159ba902e1ddef479e2e260a9_lab,Gaufre au sucre,Waffle with sugar
6c7441eac97bd92220e68b65b382d0b7_lab,Gaufre liégeoise,Liège waffle
f09e20db95ec9b04a3fdbfcd46f915a3_lab,Kanelbulle,Cinnamon roll
f9b7edc63cd7164d85860188bbcff500_lab,Macaron (tous parfums),Macaron
f08fcde009a5697190d30b58bcf21ffd_lab,Madeleine,Madeleine
11990d6b8f375954bd3e475b8bed3f3b_lab,Mille-feuille (individuel),Napoleon
ce26f7f687cc61a5e4d9b7c1bcef16c9_lab,Moelleux au chocolat,Chocolate Lava Cake
80ecc8ac65eaa65902b471eab7eeadd6_lab,Opéra (la patisserie individuelle),Opera
3fba3faed60ff9a42dfef935e3b7f77f_lab,Pain d'épices,Ginger bread
fc5930a6007fef9b7d998f205417e671_lab,Pancake,Pancake
8dad77a9fe24adcdf7fa21487183a8a9_lab,Paris-Brest (individuel),Paris-Brest
7309758118a9c8a1021df3282f2216b4_lab,Part de Quatre-quarts,Pound cake
044253e2688b01a82929d37e473805bd_lab,Part de gateau red velvet,Piece of red velvet cake
85ddceacbcd3fc2fca2999726ae87944_lab,Rouleau suisse,Swiss roll
444fdaecdd1dd1a5c984cbc5358081ea_lab,Part de Tarte à la rhubarbe,Rhubarb pie
4ad86f0025e3218300d4945bfd4558a6_lab,Tartelette à la rhubarbe,Individual Rhubarb pie
bb3c08e3a26c70479a1c1d59fe804843_lab,Part de Tarte au citron,Lemon Tart
1da18584c945c548c4fe37560783d196_lab,Tartelette au citron,Individual Lemon Tart
adc5d0037f9c4e1aad9f7a2db44fabe6_lab,Part de Tarte aux abricots,Apricot tart
163d47ee230a4e583ebc0968639cdf38_lab,Tartelette aux abricots,Individual Apricot tart
8142f68d0f9e460a115ddec9b57e25d6_lab,Part de Tarte aux fraises,Strawberry tart
86b91750a24df9b4cda5281353252cc0_lab,Tartelette aux fraises,Individual Strawberry tart
e7dbed6087312c3495e50418d7e75feb_lab,Part de Tarte aux framboises,Raspberry pie
2c3ece99020d119c216dec9a3945c004_lab,Tartelette aux framboises,Individual Raspberry pie
54c46ce829b62cf89fbc29ea1ba9ca6c_lab,Part de Tarte aux fruits rouges,Redberries tart
0796a8b21963ecdd54459ca49ff0b33f_lab,Tartelette aux fruits rouges,Individual Redberries tart
f08db9fb3dd313309b409bf3757bdf9e_lab,Part de Tarte aux noix,Walnut pie
f94ad5d7c5744366df2531218571617f_lab,Tartelette aux noix,Individual Walnut pie
d748b4c81975df4db1bf6b7d00994092_lab,"Part de tarte au pomme ""américaine"" (double pate)",Piece of apple pie (double crust)
cbefd14a56ecc74c7a77fb8a64a2cce0_lab,Part de Tarte aux pommes,Apple tart
fdb535ed0294db797fd2bb218611dbfe_lab,Tartelette aux pommes,Individual Apple tart
560eec9a0d8d1a169aa1e67612d81cb6_lab,Tapioca,Tapioca
bf5ab14b87163e63f4124049a373b6ca_lab,Abricot,Apricot
04f787b0061c22c52d9e7004820c42b9_lab,Acai bowl,Acai bowl
3e2f08130f5b6c37e1fb94aa8ea95fbf_lab,Ananas (en dés / morceaux),Pineapple
9e037d598c6ca18c1ba6227faed9921a_lab,Ananas (en rondelles),Pineapple
24fe6681e0a19f6c15bce08098913046_lab,Ananas entier,Pineapple
